sample_name	dilution	injection	url
6_qc_64x_dil_milliq	64x	6	https://usegalaxy.eu/api/datasets/26c75dcccb616ac852724fd5bf856b79/display?to_ext=mzml
7_qc_4x_dil_milliq	4x	7	https://usegalaxy.eu/api/datasets/26c75dcccb616ac8e85691822650a9eb/display?to_ext=mzml
8_qc_no_dil_milliq	no_dil	8	https://usegalaxy.eu/api/datasets/26c75dcccb616ac8100ece3bfd9a340a/display?to_ext=mzml
9_qc_2x_dil_milliq	2x	9	https://usegalaxy.eu/api/datasets/26c75dcccb616ac8dbba5aeaf120268a/display?to_ext=mzml
10_qc_16x_dil_milliq	16x	10	https://usegalaxy.eu/api/datasets/26c75dcccb616ac82f301321e027c935/display?to_ext=mzml
11_qc_8x_dil_milliq	8x	11	https://usegalaxy.eu/api/datasets/26c75dcccb616ac8ffc615013e028f63/display?to_ext=mzml
12_qc_32x_dil_milliq	32x	12	https://usegalaxy.eu/api/datasets/26c75dcccb616ac8510d006f8d36dcf6/display?to_ext=mzml
15_qc_16x_dil_milliq	16x	15	https://usegalaxy.eu/api/datasets/26c75dcccb616ac8b5c2cd337edcd7dc/display?to_ext=mzml
16_qc_64x_dil_milliq	64x	16	https://usegalaxy.eu/api/datasets/26c75dcccb616ac8879641f03a85e93e/display?to_ext=mzml
17_qc_32x_dil_milliq	32x	17	https://usegalaxy.eu/api/datasets/26c75dcccb616ac85ff433629aaee8b8/display?to_ext=mzml
18_qc_2x_dil_milliq	2x	18	https://usegalaxy.eu/api/datasets/26c75dcccb616ac82ecc5dce666a860b/display?to_ext=mzml
19_qc_4x_dil_milliq	4x	19	https://usegalaxy.eu/api/datasets/26c75dcccb616ac81c4ce1cebeddb3ca/display?to_ext=mzml
20_qc_8x_dil_milliq	8x	20	https://usegalaxy.eu/api/datasets/26c75dcccb616ac8a4d0f5f38ef4d3f8/display?to_ext=mzml
21_qc_no_dil_milliq	no_dil	21	https://usegalaxy.eu/api/datasets/26c75dcccb616ac8b6a8197e08081471/display?to_ext=mzml
24_qc_8x_dil_milliq	8x	24	https://usegalaxy.eu/api/datasets/26c75dcccb616ac8fc58261d2d5970cb/display?to_ext=mzml
25_qc_4x_dil_milliq	4x	25	https://usegalaxy.eu/api/datasets/26c75dcccb616ac8e4b13c311c382f1c/display?to_ext=mzml
26_qc_16x_dil_milliq	16x	26	https://usegalaxy.eu/api/datasets/26c75dcccb616ac8028d683b756b2093/display?to_ext=mzml
27_qc_2x_dil_milliq	2x	27	https://usegalaxy.eu/api/datasets/26c75dcccb616ac877ac9d24ef103f4b/display?to_ext=mzml
28_qc_64x_dil_milliq	64x	28	https://usegalaxy.eu/api/datasets/26c75dcccb616ac80d509383917c5ce4/display?to_ext=mzml
29_qc_no_dil_milliq	no_dil	29	https://usegalaxy.eu/api/datasets/26c75dcccb616ac88045c80e9a04fe47/display?to_ext=mzml
30_qc_32x_dil_milliq	32x	30	https://usegalaxy.eu/api/datasets/26c75dcccb616ac8b159830badb727ba/display?to_ext=mzml
